data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6337209,356,IND65627,65627,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","COCOMI: Coordination Committee on Manipur Integrity",6,,,0,60,"Southern Asia",India,Manipur,Jiribam,Jiribam,Uchatol,24.7879,93.1654,1,"Sangai Express",Subnational,"On 7 November, Coordination Committee on Manipur Integrity (COCOMI) organized an alert protest in Uchatol village (Jiribam, Manipur) demanding amicable solution to the Naga issue that would not infringe upon State's integrity. [size=no report]",0,1573566094,IND
6337211,356,IND65618,65618,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India), COCOMI: Coordination Committee on Manipur Integrity",6,,,0,60,"Southern Asia",India,Manipur,Thoubal,Thoubal,Khekman,24.629,93.9587,1,"Sangai Express",Subnational,"On 7 November, Coordination Committee on Manipur Integrity (COCOMI) and the New Age Progressive Farmers Club organized an alert protest in Khekman (Thoubal, Manipur) demanding amicable solution to the Naga issue that would not infringe upon State's integrity. [size=no report]",0,1573566094,IND
6336956,586,PAK54313,54313,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Jokhio Communal Group (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,Thatta,Thatta,Dhabeji,24.7833,67.5167,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, members of Jokhio community held a protest outside the main gate of Civil Hospital in Dhabeji town (Thatta, Sindh) against the doctors of the hospital alleging them of refusing to treat women from rural areas. [size=no report]",0,1573566094,PAK
6337468,356,IND65428,65428,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Warangal,Warangal,Warangal,18.79,79.5833,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Warangal town (Warangal, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6335165,422,LBN2253,2253,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Baabda,,Khaldah,33.7872,35.4807,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held in Khaldah. [size=no report]",0,1573506507,LBN
6336957,586,PAK54336,54336,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Mari Tribal Group (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,"Naushahro Feroze",Kandiaro,"Khan Wahan",27.1769,68.2937,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, members of Mari tribe protested in Khan Wahan town (Naushahro Feroze, Sindh) demanding recovery of a stolen motorcycle belonging to a member of their community. [size=no report]",0,1573566094,PAK
6337470,356,IND65419,65419,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Khammam,Khammam,Khammam,17.2476,80.1436,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Khammam city (Khammam, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6335167,422,LBN2252,2252,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,North,Batroun,,Batroun,34.2553,35.6581,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held in Batroun. [size=no report]",0,1573506507,LBN
6337471,356,IND65418,65418,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,"United News of India",National,"On November 7, TSRTC employees held a protest in Hyderabad city (Hyderabad, Telangana), pressing their demand to merge the loss-making corporation with the government. [size=no report]",0,1573566095,IND
6335169,422,LBN2249,2249,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,Bekaa,Zahleh,,Zahle,33.8468,35.902,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. Students and demonstrators held a sit-in outside the Saray in Zahle. [size=no report]",0,1573506507,LBN
